time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-09 00:00:00+00:00,2,2,10,6
2025-09-10 00:00:00+00:00,2,2,29,13
2025-09-11 00:00:00+00:00,2,2,28,12
2025-09-12 00:00:00+00:00,2,2,15,11
2025-09-13 00:00:00+00:00,4,2,40,17
2025-09-14 00:00:00+00:00,2,2,32,28
2025-09-15 00:00:00+00:00,6,5,19,13
2025-09-16 00:00:00+00:00,1,1,24,13
2025-09-17 00:00:00+00:00,7,6,36,10
2025-09-18 00:00:00+00:00,7,7,29,9
2025-09-19 00:00:00+00:00,8,7,37,11
2025-09-20 00:00:00+00:00,4,2,38,8
2025-09-21 00:00:00+00:00,3,3,22,12
2025-09-22 00:00:00+00:00,4,4,21,10
