time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-08 00:00:00+00:00,4,2,23,10
2025-11-09 00:00:00+00:00,5,4,18,11
2025-11-10 00:00:00+00:00,7,7,16,12
2025-11-11 00:00:00+00:00,3,3,37,25
2025-11-12 00:00:00+00:00,3,3,44,15
2025-11-13 00:00:00+00:00,3,3,22,11
2025-11-14 00:00:00+00:00,2,2,14,11
2025-11-15 00:00:00+00:00,6,3,14,9
2025-11-16 00:00:00+00:00,1,1,8,7
2025-11-17 00:00:00+00:00,4,4,49,15
2025-11-18 00:00:00+00:00,3,3,38,14
2025-11-19 00:00:00+00:00,4,4,26,13
2025-11-20 00:00:00+00:00,2,2,29,12
2025-11-21 00:00:00+00:00,2,2,33,14
