time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-31 00:00:00+00:00,6,4,13,7
2026-02-01 00:00:00+00:00,6,5,12,6
2026-02-02 00:00:00+00:00,3,3,14,10
2026-02-03 00:00:00+00:00,4,3,22,12
2026-02-04 00:00:00+00:00,13,3,26,8
2026-02-05 00:00:00+00:00,3,3,28,14
2026-02-06 00:00:00+00:00,1,1,11,10
2026-02-07 00:00:00+00:00,4,2,16,9
2026-02-08 00:00:00+00:00,3,2,28,8
2026-02-09 00:00:00+00:00,1,1,18,12
2026-02-10 00:00:00+00:00,4,4,20,11
2026-02-11 00:00:00+00:00,15,5,19,11
2026-02-12 00:00:00+00:00,6,5,23,10
2026-02-13 00:00:00+00:00,2,2,14,9
