time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-24 00:00:00+00:00,9,7,18,13
2025-05-25 00:00:00+00:00,7,7,20,14
2025-05-26 00:00:00+00:00,6,5,24,19
2025-05-27 00:00:00+00:00,2,2,21,14
2025-05-28 00:00:00+00:00,7,6,29,18
2025-05-29 00:00:00+00:00,5,4,54,17
2025-05-30 00:00:00+00:00,6,4,18,10
2025-05-31 00:00:00+00:00,4,2,12,10
2025-06-01 00:00:00+00:00,1,1,8,7
2025-06-02 00:00:00+00:00,3,3,47,23
2025-06-03 00:00:00+00:00,24,9,28,11
2025-06-04 00:00:00+00:00,2,2,25,14
2025-06-05 00:00:00+00:00,3,2,22,11
2025-06-06 00:00:00+00:00,2,2,22,15
